uni,major,minor,course,fee,success_rate,round1,round2,round3,round4,lat,lon
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,วศ.บ. วิศวกรรมอุตสาหการและการจัดการโลจิสติกส์ (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,90,85,10,5,25,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,วศ.บ. วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,92,105,40,20,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมอิเล็กทรอนิกส์,วศ.บ. วิศวกรรมอิเล็กทรอนิกส์ (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,83,105,25,15,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมอาหาร,วศ.บ. วิศวกรรมอาหาร (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,86,65,20,10,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมหุ่นยนต์,วศ.บ. วิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,97,105,10,5,10,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมสารสนเทศ,วศ.บ. วิศวกรรมอวกาศและภูมิสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,0,20,15,5,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมสารสนเทศ,วศ.บ. วิศวกรรมระบบไอโอทีและสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,0,75,15,5,3,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมโยธา,วศ.บ. วิศวกรรมโยธา (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,93,85,8,5,10,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมโยธา,วศ.บ. วิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,94,105,25,15,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมเมคคาทรอนิกส์,วศ.บ. วิศวกรรมเมคคาทรอนิกส์และออโตเมชัน (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,0,120,30,15,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,วศ.บ. วิศวกรรมไฟฟ้าสื่อสารและเครือข่าย (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,0,95,20,10,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,วศ.บ. วิศวกรรมไฟฟ้า (หลักสูตรนานาชาติ) แขนงแมคคาทรอนิกส์ (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,0,75,6,0,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,วศ.บ. วิศวกรรมไฟฟ้า (หลักสูตรนานาชาติ) แขนงไฟฟ้ากำลัง (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,0,75,7,0,15,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,วศ.บ. วิศวกรรมไฟฟ้า (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,95,135,42,20,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมพลังงาน,วศ.บ. วิศวกรรมพลังงาน (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,0,75,6,0,30,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมซอฟต์แวร์,วศ.บ. วิศวกรรมซอฟต์แวร์ (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,66,105,15,0,15,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมชีวการแพทย์,วศ.บ. วิศวกรรมชีวการแพทย์ (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,73,95,10,5,10,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ. วิศวกรรมเครื่องกล (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,90,85,10,0,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ. วิศวกรรมขนส่งทางราง (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,90,70,10,5,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ. วิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,78,75,15,5,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมเคมี,วศ.บ. วิศวกรรมเคมี (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,84,80,8,0,30,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมเคมี,วศ.บ. วิศวกรรมเคมี (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,83,95,20,10,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต ลาดกระบัง,90000,0,85,10,5,10,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,87,85,40,20,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมเกษตร,วศ.บ. วิศวกรรมเกษตรอัจฉริยะ (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,200000,0,65,20,10,0,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมการผลิต,วศ.บ. วิศวกรรมการผลิตเชิงบูรณาการ (ภาษาไทย ปกติ) วิทยาเขต ลาดกระบัง,296000,0,55,3,0,3,13.7293,100.7797
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,คณะวิศวกรรมศาสตร์,วิศวกรรมการเงิน,วศ.บ. วิศวกรรมการเงิน (หลักสูตรนานาชาติ) (Double Degree - นานาชาติ พิเศษ) วิทยาเขต ลาดกระบัง,120000,85,105,10,5,0,13.7293,100.7797
มหาวิทยาลัยอุบลราชธานี,คณะวิศวกรรมศาสตร์,วิศวกรรมเมคคาทรอนิกส์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเมคคาทรอนิกส์และระบบอัตโนมัติ (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก,200000,0,0,100,30,40,15.1288,104.3221
มหาวิทยาลัยอุบลราชธานี,คณะวิศวกรรมศาสตร์,วิศวกรรมทั่วไป,"วิศวกรรมศาสตรบัณฑิต [สาขาวิชาวิศวกรรมเครื่องกล, สาขาวิชาวิศวกรรมอุตสาหการ,
สาขาวิชาวิศวกรรมโยธา, สาขาวิชาวิศวกรรมไฟฟ้า, สาขาวิชาวิศวกรรมเคมีและสาขาวิชาวิศวกรรมสิ่งแวดล้อม (เลือกสาขาวิชาเมื่อขึ้นชั้นปีที่ 2)] (ภาษาไทย ปกติ) วิทยาเขต วิทยาเขตหลัก",120000,0,450,400,150,0,15.1288,104.3221
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมเชิงนวัตกรรม,วศ.บ. วิศวกรรมและการจัดการนวัตกรรม (หลักสูตรนานาชาติ) (นานาชาติ) วิทยาเขต หาดใหญ่,472000,0,250,60,10,20,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,วศ.บ. วิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,144000,0,30,30,20,0,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมเหมืองแร่,วศ.บ. วิศวกรรมเหมืองแร่และวัสดุ (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,144000,0,40,20,15,0,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมสิ่งแวดล้อม,วศ.บ. วิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,144000,0,10,20,0,0,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมเมคคาทรอนิกส์,วศ.บ. วิศวกรรมเมคาทรอนิกส์ (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,144000,0,15,15,5,0,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,วศ.บ. วิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,144000,0,50,20,10,0,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมเคมี,วศ.บ. วิศวกรรมเคมี (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,144000,0,25,30,10,0,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์ (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,224000,0,210,5,10,0,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,144000,0,75,20,10,0,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมการผลิต,วศ.บ. วิศวกรรมการผลิต (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,144000,0,20,10,20,0,7.0085,100.4741
มหาวิทยาลัยสงขลานครินทร์,คณะวิศวกรรมศาสตร์,วิศวกรรมทั่วไป,วศ.บ. วิศวกรรมศาสตร์ (ภาษาไทย ปกติ) วิทยาเขต หาดใหญ่,144000,0,596,175,75,10,7.0085,100.4741
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,บริหารธุรกิจ,หลักสูตรเทคโนโลยีบัณฑิต (ธุรกิจวิศวกรรม) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,80,20,0,10,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,บริหารธุรกิจ,หลักสูตรเทคโนโลยีบัณฑิต (ธุรกิจวิศวกรรม) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,194,80,40,0,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมอุตสาหการ) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,40,20,0,0,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมอุตสาหการ) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,114,30,10,0,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมอิเล็กทรอนิกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,20,10,20,5,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมอิเล็กทรอนิกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,129,40,30,0,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมวัสดุ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (ปิโตรเคมีและวัสดุพอลิเมอร์) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,35,10,5,5,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมวัสดุ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (ปิโตรเคมีและวัสดุพอลิเมอร์) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,199,30,15,5,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมวัสดุ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมวัสดุและนาโนเทคโนโลยี) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,100,20,10,10,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมวัสดุ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมวัสดุและนาโนเทคโนโลยี) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,194,100,40,20,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมโลจิสติกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมการจัดการและโลจิสติกส์) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,10,5,0,10,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมโลจิสติกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมการจัดการและโลจิสติกส์) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,79,25,20,0,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าสื่อสาร) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,20,10,15,5,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมไฟฟ้าสื่อสาร) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,84,20,15,0,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมเครื่องกล,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเครื่องกล) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,80,20,0,10,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมเครื่องกล,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเครื่องกล) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,194,80,30,0,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมเคมี,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเคมี) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,30,15,10,10,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมเคมี,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมเคมี) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,114,35,20,0,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมกระบวนการชีวภาพ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมกระบวนการชีวภาพ) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,10,5,5,5,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,วิศวกรรมกระบวนการชีวภาพ,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมกระบวนการชีวภาพ) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,114,35,30,20,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,เทคโนโลยีชีวภาพ,หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีชีวภาพ) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,10,5,5,5,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,เทคโนโลยีชีวภาพ,หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีชีวภาพ) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,114,35,30,20,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,เทคโนโลยีการอาหาร,หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีอาหาร) (ภาษาไทย พิเศษ) วิทยาเขต สนามจันทร์,280000,0,10,5,5,20,13.7796,100.4906
มหาวิทยาลัยศิลปากร,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,เทคโนโลยีการอาหาร,หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีอาหาร) (ภาษาไทย ปกติ) วิทยาเขต สนามจันทร์,152000,0,94,30,40,20,13.7796,100.4906
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,200000,83,40,5,18,0,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมสิ่งแวดล้อม,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,200000,66,25,10,26,0,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมโลจิสติกส์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลจิสติกส์ (หลักสูตร 2 ภาษา) (สองภาษา/สามภาษา) วิทยาเขต องครักษ์,320000,100,40,5,43,12,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมโยธา,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,200000,54,30,10,21,0,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า สาขาวิชาวิชาเอกวิศวกรรมโทรคมนาคมและเทคโนโลยีสารสนเทศ (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,200000,88,30,5,34,0,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า สาขาวิชาวิชาเอกวิศวกรรมไฟฟ้ากำลัง (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,200000,86,30,5,13,4,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมซอฟต์แวร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมด้านความปลอดภัยไซเบอร์ (หลักสูตรนานาชาติ) (Double Degree - นานาชาติ ปกติ) วิทยาเขต องครักษ์,80000,0,12,2,17,16,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมชีวการแพทย์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมชีวการแพทย์ (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,200000,77,30,10,36,70,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,200000,90,60,10,26,0,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมเคมี,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมี (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,200000,78,40,5,12,0,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอนเสิร์ตและมัลติมีเดีย (หลักสูตรนานาชาติ) (Double Degree - นานาชาติ ปกติ) วิทยาเขต องครักษ์,80000,70,12,2,17,16,13.7537,100.5625
มหาวิทยาลัยศรีนครินทรวิโรฒ,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ) วิทยาเขต องครักษ์,200000,89,38,7,15,0,13.7537,100.5625
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมโยธา,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมโยธา (ภาษาไทย ปกติ),261600,0,50,40,10,1,8.6537,99.896
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมไฟฟ้า,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมไฟฟ้า (ภาษาไทย ปกติ),261600,0,70,70,30,20,8.6537,99.896
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมปิโตรเลียม,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมปิโตรเคมีและพอลิเมอร์ (ภาษาไทย ปกติ),261600,0,50,50,50,20,8.6537,99.896
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเครื่องกล,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกลและหุ่นยนต์ (ภาษาไทย ปกติ),261600,0,45,45,45,1,8.6537,99.896
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเคมี,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและเคมีเภสัชกรรม (ภาษาไทย ปกติ),261600,0,50,60,30,60,8.6537,99.896
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),261600,0,70,40,5,1,8.6537,99.896
